GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_PDOF_TR,GV_FOOTPRINT
s05_1475_1695,s14_6_15,s08_n64_n54,s15_1401_up,s4_3_4,s07_2005_2006,s06_1775_2075,s5_40_50,Passenger Car,s08_70_80,Deployed,s2_165_175,4,Female,s08_86_93,s07_110_127,s2_3_4
s07_1855_2075,s12_n11_n2,s10_n48_n40,s15_1401_up,s4_3_4,s08_2006_2007,s04_1355_1595,s5_40_50,Truck (<=6000 lbs.),s06_50_60,Deployed,s2_165_175,2,Male,s07_82_86,s09_145_162,s3_4_5
s03_1035_1255,s15_15_25,s12_n30_n20,s08_274_324,s2_1_2,s03_2001_2002,s07_2075_2295,s3_20_30,Passenger Car,s02_10_20,Not Deployed,s3_175_up,2,Male,s08_86_93,s03_40_57,s2_3_4
s05_1475_1695,s13_n2_6,s15_n6_0,s04_131_160,s4_3_4,s06_2004_2005,s03_1135_1355,s5_40_50,Passenger Car,s03_20_30,Not Deployed,s2_165_175,0,Female,s02_57_61,s04_57_75,s2_3_4
s03_1035_1255,s12_n11_n2,s13_n20_n14,s01_below_79,s4_3_4,s05_2003_2004,s04_1355_1595,s5_40_50,Passenger Car,s09_80_90,Not Deployed,s1_below_165,0,Female,s04_66_73,s09_145_162,s2_3_4
s04_1255_1475,s13_n2_6,s17_7_15,s04_131_160,s2_1_2,s05_2003_2004,s04_1355_1595,s4_30_40,Passenger Car,s06_50_60,Not Deployed,s1_below_165,1,Female,s05_73_77,s18_302_320,s2_3_4
s06_1695_1855,s13_n2_6,s15_n6_0,s09_324_383,s2_1_2,s06_2004_2005,s04_1355_1595,s6_50_60,Truck (<=6000 lbs.),s05_40_50,Not Deployed,s2_165_175,0,Female,s10_104_up,s10_162_180,s2_3_4
s09_2255_2555,s12_n11_n2,s14_n14_n6,s08_274_324,s2_1_2,s04_2002_2003,s02_760_1135,s3_20_30,Truck (<=10000 lbs.),s06_50_60,Deployed,s3_175_up,1,Male,s09_93_104,s09_145_162,s3_4_5
s05_1475_1695,s12_n11_n2,s16_0_7,s02_79_105,s2_1_2,s05_2003_2004,s05_1595_1775,s3_20_30,Passenger Car,s02_10_20,Not Deployed,s3_175_up,0,Male,s06_77_82,s14_232_250,s2_3_4
s03_1035_1255,s12_n11_n2,s08_n64_n54,s15_1401_up,s3_2_3,s08_2006_2007,s04_1355_1595,s6_50_60,Passenger Car,s07_60_70,Not Deployed,s3_175_up,3,Male,s10_104_up,s03_40_57,s2_3_4
s04_1255_1475,s11_n21_n11,s11_n40_n30,s13_708_924,s5_4_5,s08_2006_2007,s06_1775_2075,s5_40_50,Passenger Car,s07_60_70,Deployed,s1_below_165,1,Female,s06_77_82,s09_145_162,s2_3_4
s04_1255_1475,s14_6_15,s13_n20_n14,s07_230_274,s2_1_2,s09_2007_2008,s05_1595_1775,s4_30_40,Passenger Car,s05_40_50,Deployed,s3_175_up,1,Female,s09_93_104,s06_92_110,s2_3_4
s05_1475_1695,s13_n2_6,s16_0_7,s01_below_79,s2_1_2,s04_2002_2003,s04_1355_1595,s4_30_40,Truck (<=6000 lbs.),s03_20_30,Not Deployed,s1_below_165,0,Female,s01_below_57,s03_40_57,s3_4_5
s03_1035_1255,s14_6_15,s13_n20_n14,s10_383_461,s2_1_2,s09_2007_2008,s03_1135_1355,s5_40_50,Passenger Car,s06_50_60,Not Deployed,s1_below_165,1,Female,s02_57_61,s07_110_127,s2_3_4
s05_1475_1695,s07_n58_n49,s14_n14_n6,s15_1401_up,s2_1_2,s06_2004_2005,s06_1775_2075,s3_20_30,Passenger Car,s07_60_70,Not Deployed,s1_below_165,1,Female,s10_104_up,s17_285_302,s2_3_4
s07_1855_2075,s14_6_15,s10_n48_n40,s14_924_1401,s2_1_2,s06_2004_2005,s05_1595_1775,s3_20_30,Passenger Car,s08_70_80,Not Deployed,s1_below_165,0,Female,s08_86_93,s07_110_127,s3_4_5
s04_1255_1475,s16_25_34,s11_n40_n30,s14_924_1401,s3_2_3,s06_2004_2005,s04_1355_1595,s4_30_40,Passenger Car,s02_10_20,Deployed,s3_175_up,0,Male,s08_86_93,s06_92_110,s2_3_4
s04_1255_1475,s13_n2_6,s13_n20_n14,s04_131_160,s2_1_2,s08_2006_2007,s06_1775_2075,s3_20_30,Passenger Car,s07_60_70,Deployed,s2_165_175,1,Male,s10_104_up,s08_127_145,s2_3_4
s07_1855_2075,s14_6_15,s14_n14_n6,s01_below_79,s3_2_3,s04_2002_2003,s06_1775_2075,s5_40_50,Truck (<=6000 lbs.),s05_40_50,Not Deployed,s2_165_175,0,Female,s07_82_86,s08_127_145,s3_4_5
