id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,Sample
16203,s06_1675_1935,s11_n10_0,s13_n20_n6,s06_366_468,5,2000,s08_1695_1855,s4_30_40,Truck (<=6000 lbs.),s03_20_30,Deployed,s3_170_180,0,Male,s1_below_70,167,295,s4_135_175,s2_4_5,1
16312,s03_1035_1335,s10_n16_n10,s13_n20_n6,s05_290_366,2,2001,s04_1135_1335,s4_30_40,Passenger Car,s03_20_30,Not Deployed,s4_180_up,0,Male,s2_70_100,146,257,s5_175_up,s1_below_4,1
16403,s06_1675_1935,s13_3_13,s13_n20_n6,s04_230_290,2,2002,s05_1335_1455,s4_30_40,Passenger Car,s05_40_50,Not Deployed,s1_below_165,0,Female,s2_70_100,162,288,s4_135_175,s2_4_5,1
16497,s04_1335_1555,s13_3_13,s13_n20_n6,s02_113_167,3,2001,s05_1335_1455,s6_50_60,Truck (<=10000 lbs.),s03_20_30,Not Deployed,s4_180_up,0,Male,s2_70_100,174,348,s4_135_175,s4_6_7,1
16624,s04_1335_1555,s12_0_3,s13_n20_n6,s05_290_366,3,2000,s10_2075_2255,s7_60_70,Truck (<=6000 lbs.),s05_40_50,Deployed,s3_170_180,0,Male,s2_70_100,139,312,s4_135_175,s2_4_5,1
16724,s03_1035_1335,s13_3_13,s12_n28_n20,s07_468_577,4,2000,s06_1455_1575,s5_40_50,Passenger Car,s05_40_50,Deployed,s4_180_up,0,Male,s2_70_100,148,260,s2_95_125,s1_below_4,1
16848,s04_1335_1555,s13_3_13,s12_n28_n20,s04_230_290,4,2001,s05_1335_1455,s6_50_60,Passenger Car,s03_20_30,Deployed,s1_below_165,0,Female,s1_below_70,154,274,s3_125_135,s2_4_5,1
16954,s09_2210_2350,s12_0_3,s13_n20_n6,s04_230_290,4,2001,s07_1575_1695,s4_30_40,Truck (<=10000 lbs.),s03_20_30,Not Deployed,s4_180_up,0,Male,s2_70_100,172,365,s4_135_175,s4_6_7,1
17045,s10_2350_2570,s10_n16_n10,s12_n28_n20,s06_366_468,2,2001,s08_1695_1855,s4_30_40,Truck (<=10000 lbs.),s03_20_30,Deployed,s3_170_180,0,Male,s2_70_100,174,351,s4_135_175,s4_6_7,1
17146,s03_1035_1335,s11_n10_0,s13_n20_n6,s04_230_290,4,2000,s03_1010_1135,s5_40_50,Passenger Car,s03_20_30,Deployed,s1_below_165,0,Male,s1_below_70,145,264,s4_135_175,s1_below_4,1
17266,s04_1335_1555,s12_0_3,s13_n20_n6,s04_230_290,5,2000,s06_1455_1575,s4_30_40,Passenger Car,s02_10_20,Not Deployed,s2_165_170,0,Female,s1_below_70,154,267,s4_135_175,s2_4_5,1
17359,s04_1335_1555,s13_3_13,s13_n20_n6,s01_below_113,2,2000,s05_1335_1455,s4_30_40,Passenger Car,s03_20_30,Not Deployed,s4_180_up,0,Male,s2_70_100,150,272,s2_95_125,s2_4_5,1
17480,s05_1555_1675,s12_0_3,s13_n20_n6,s01_below_113,2,2000,s05_1335_1455,s5_40_50,Truck (<=6000 lbs.),s05_40_50,Deployed,s4_180_up,0,Male,s2_70_100,157,257,s4_135_175,s2_4_5,1
17602,s04_1335_1555,s13_3_13,s13_n20_n6,s05_290_366,1,2000,s08_1695_1855,s4_30_40,Passenger Car,s06_50_60,Not Deployed,s3_170_180,0,Male,s2_70_100,150,271,s4_135_175,s2_4_5,1
17733,s03_1035_1335,s09_n26_n16,s14_n6_1,s07_468_577,2,2000,s06_1455_1575,s3_20_30,Passenger Car,s05_40_50,Not Deployed,s4_180_up,0,Male,s2_70_100,150,267,s5_175_up,s2_4_5,1
17839,s05_1555_1675,s07_n41_n33,s13_n20_n6,s04_230_290,4,2000,s07_1575_1695,s4_30_40,Passenger Car,s09_80_90,Not Deployed,s3_170_180,0,Male,s2_70_100,157,287,s5_175_up,s2_4_5,1
17949,s04_1335_1555,s11_n10_0,s14_n6_1,s02_113_167,2,2000,s08_1695_1855,s3_20_30,Passenger Car,s03_20_30,Not Deployed,s3_170_180,0,Male,s2_70_100,154,267,s5_175_up,s2_4_5,1
18035,s04_1335_1555,s14_13_17,s13_n20_n6,s01_below_113,2,2009,s03_1010_1135,s2_10_20,Truck (<=6000 lbs.),s04_30_40,Not Deployed,s4_180_up,0,Female,s1_below_70,156,266,s1_below_95,s2_4_5,1
18102,s04_1335_1555,s12_0_3,s16_17_28,s08_577_717,4,2009,s08_1695_1855,s6_50_60,Truck (<=6000 lbs.),s06_50_60,Not Deployed,s3_170_180,0,Male,s1_below_70,148,262,s5_175_up,s1_below_4,1
18189,s05_1555_1675,s08_n33_n26,s14_n6_1,s09_717_877,5,2011,s08_1695_1855,s5_40_50,Truck (<=6000 lbs.),s06_50_60,Not Deployed,s2_165_170,0,Female,s2_70_100,155,262,s5_175_up,s2_4_5,1
18264,s06_1675_1935,s12_0_3,s15_1_17,s01_below_113,6,2012,s06_1455_1575,s5_40_50,Passenger Car,s06_50_60,Not Deployed,s3_170_180,0,Male,s2_70_100,159,272,s5_175_up,s2_4_5,1
18350,s07_1935_2075,s13_3_13,s11_n38_n28,s11_1099_1433,2,2011,s05_1335_1455,s5_40_50,Truck (<=6000 lbs.),s07_60_70,Deployed,s3_170_180,0,Male,s2_70_100,170,278,s2_95_125,s2_4_5,1
18430,s07_1935_2075,s13_3_13,s13_n20_n6,s05_290_366,2,2011,s07_1575_1695,s5_40_50,Truck (<=6000 lbs.),s05_40_50,Not Deployed,s3_170_180,0,Male,s2_70_100,166,282,s2_95_125,s2_4_5,1
18510,s10_2350_2570,s11_n10_0,s14_n6_1,s03_167_230,5,2011,s08_1695_1855,s4_30_40,Truck (<=10000 lbs.),s03_20_30,Not Deployed,s2_165_170,0,Female,s1_below_70,172,370,s5_175_up,s4_6_7,1
18579,s03_1035_1335,s15_17_25,s13_n20_n6,s01_below_113,3,2010,s06_1455_1575,s4_30_40,Truck (<=6000 lbs.),s03_20_30,Not Deployed,s2_165_170,0,Female,s1_below_70,157,255,s2_95_125,s2_4_5,1
18658,s05_1555_1675,s11_n10_0,s13_n20_n6,s01_below_113,2,2009,s04_1135_1335,s3_20_30,Passenger Car,s02_10_20,Not Deployed,s3_170_180,0,Male,s2_70_100,158,281,s4_135_175,s2_4_5,1
18761,s09_2210_2350,s11_n10_0,s13_n20_n6,s04_230_290,3,2008,s04_1135_1335,s3_20_30,Truck (<=10000 lbs.),s04_30_40,Not Deployed,s4_180_up,0,Male,s4_130_up,172,356,s4_135_175,s4_6_7,1
18843,s06_1675_1935,s13_3_13,s13_n20_n6,s08_577_717,6,2009,s09_1855_2075,s4_30_40,Truck (<=6000 lbs.),s04_30_40,Not Deployed,s1_below_165,0,Female,s2_70_100,155,271,s1_below_95,s2_4_5,1
18933,s06_1675_1935,s14_13_17,s12_n28_n20,s02_113_167,4,2005,s07_1575_1695,s3_20_30,Passenger Car,s05_40_50,Not Deployed,s4_180_up,0,Male,s2_70_100,163,291,s1_below_95,s2_4_5,1
19016,s10_2350_2570,s13_3_13,s12_n28_n20,s11_1099_1433,4,2009,s04_1135_1335,s5_40_50,Truck (<=10000 lbs.),s03_20_30,Not Deployed,s3_170_180,0,Male,s2_70_100,171,295,s3_125_135,s3_5_6,1
19124,s10_2350_2570,s12_0_3,s13_n20_n6,s05_290_366,4,2006,s08_1695_1855,s4_30_40,Truck (<=10000 lbs.),s03_20_30,Not Deployed,s1_below_165,0,Female,s1_below_70,172,351,s4_135_175,s4_6_7,1
