17rs08_1510_1560rs1_below_n7rs2_n25_n17rs13_708_924rs4_3_4rs08_2006_2007rs03_1135_1355rs5_40_50r"Passenger Car"rs04_30_40rDeployedrs3_175_upr0rMalers08_86_93rrrs10_162_180rs2_3_4
18rs04_1280_1380rs5_9_uprs1_below_n25rs11_461_562rs2_1_2rs03_2001_2002rs04_1355_1595rs1_below_10r"Truck (<=6000 lbs.)"rs03_20_30rDeployedrs2_165_175r1rMalers02_57_61rrrs06_92_110rs2_3_4
19rs08_1510_1560rs2_n7_0rs3_n17_n12rs08_274_324rs2_1_2rs05_2003_2004rs06_1775_2075rs6_50_60r"Passenger Car"rs03_20_30rDeployedrs2_165_175r1rFemalers10_104_uprrrs09_145_162rs2_3_4
20rs02_1150_1200rs3_0_3rs5_n5_uprs03_105_131rs2_1_2rs04_2002_2003rs03_1135_1355rs6_50_60r"Passenger Car"rs07_60_70rNot Deployedrs3_175_upr0rMalers09_93_104rrrs18_302_320rs2_3_4
21rs13_1910_2060rs5_9_uprs4_n12_n5rs09_324_383rs4_3_4rs09_2007_2008rs03_1135_1355rs4_30_40r"Truck (<=6000 lbs.)"rs06_50_60rNot Deployedrs1_below_165r0rFemalers01_below_57rrrs08_127_145rs2_3_4
22rs09_1560_1610rs3_0_3rs2_n25_n17rs07_230_274rs2_1_2rs08_2006_2007rs04_1355_1595rs1_below_10r"Truck (<=6000 lbs.)"rs05_40_50rNot Deployedrs1_below_165r1rFemalers03_61_66rrrs08_127_145rs2_3_4
23rs08_1510_1560rs1_below_n7rs3_n17_n12rs07_230_274rs2_1_2rs05_2003_2004rs04_1355_1595rs5_40_50r"Truck (<=6000 lbs.)"rs03_20_30rDeployedrs1_below_165r0rFemalers10_104_uprrrs10_162_180rs2_3_4
24rs03_1200_1280rs3_0_3rs3_n17_n12rs02_79_105rs2_1_2rs07_2005_2006rs04_1355_1595rs5_40_50r"Passenger Car"rs07_60_70rDeployedrs2_165_175r1rFemalers04_66_73rrrs08_127_145rs2_3_4
25rs01_below_1150rs4_3_9rs4_n12_n5rs03_105_131rs1_below_1rs09_2007_2008rs05_1595_1775rs5_40_50r"Passenger Car"rs06_50_60rNot Deployedrs2_165_175r0rMalers04_66_73rrrs07_110_127rs2_3_4
26rs12_1810_1910rs1_below_n7rs5_n5_uprs13_708_924rs1_below_1rs08_2006_2007rs08_2295_2495rs4_30_40r"Truck (<=6000 lbs.)"rs04_30_40rNot Deployedrs3_175_upr1rMalers06_77_82rrrs18_302_320rs3_4_5
27rs12_1810_1910rs3_0_3rs5_n5_uprs13_708_924rs2_1_2rs04_2002_2003rs07_2075_2295rs4_30_40r"Passenger Car"rs05_40_50rNot Deployedrs1_below_165r1rMalers06_77_82rrrs10_162_180rs3_4_5
28rs10_1610_1710rs3_0_3rs2_n25_n17rs05_160_192rs3_2_3rs08_2006_2007rs04_1355_1595rs6_50_60r"Passenger Car"rs03_20_30rDeployedrs3_175_upr0rMalers08_86_93rrrs08_127_145rs2_3_4
29rs12_1810_1910rs3_0_3rs4_n12_n5rs01_below_79rs2_1_2rs04_2002_2003rs05_1595_1775rs4_30_40r"Passenger Car"rs03_20_30rNot Deployedrs3_175_upr0rMalers04_66_73rrrs05_75_92rs3_4_5
30rs05_1380_1420rs3_0_3rs5_n5_uprs12_562_708rs4_3_4rs06_2004_2005rs04_1355_1595rs4_30_40r"Passenger Car"rs03_20_30rNot Deployedrs3_175_upr0rMalers05_73_77rrrs18_302_320rs2_3_4
31rs08_1510_1560rs3_0_3rs1_below_n25rs14_924_1401rs4_3_4rs08_2006_2007rs04_1355_1595rs4_30_40r"Passenger Car"rs04_30_40rDeployedrs2_165_175r2rMalers03_61_66rrrs08_127_145rs2_3_4
32rs13_1910_2060rs3_0_3rs5_n5_uprs02_79_105rs3_2_3rs04_2002_2003rs04_1355_1595rs6_50_60r"Truck (<=6000 lbs.)"rs05_40_50rNot Deployedrs1_below_165r0rFemalers05_73_77rrrs18_302_320rs3_4_5
33rs02_1150_1200rs4_3_9rs3_n17_n12rs03_105_131rs2_1_2rs06_2004_2005rs07_2075_2295rs4_30_40r"Passenger Car"rs07_60_70rNot Deployedrs1_below_165r0rFemalers08_86_93rrrs07_110_127rs2_3_4
34rs11_1710_1810rs2_n7_0rs2_n25_n17rs11_461_562rs2_1_2rs08_2006_2007rs04_1355_1595rs4_30_40r"Passenger Car"rs03_20_30rDeployedrs3_175_upr0rMalers08_86_93rrrs08_127_145rs3_4_5
35rs11_1710_1810rs5_9_uprs2_n25_n17rs03_105_131rs1_below_1rs03_2001_2002rs04_1355_1595rs4_30_40r"Truck (<=6000 lbs.)"rs02_10_20rNot Deployedrs1_below_165r0rFemalers01_below_57rrrs04_57_75rs2_3_4
36rs08_1510_1560rs1_below_n7rs4_n12_n5rs12_562_708rs4_3_4rs05_2003_2004rs05_1595_1775rs4_30_40r"Passenger Car"rs07_60_70rNot Deployedrs2_165_175r1rFemalers03_61_66rrrs11_180_197rs2_3_4
37rs13_1910_2060rs3_0_3rs2_n25_n17rs12_562_708rs1_below_1rs04_2002_2003rs03_1135_1355rs4_30_40r"Truck (<=6000 lbs.)"rs09_80_90rNot Deployedrs3_175_upr0rMalers08_86_93rrrs06_92_110rs2_3_4
38rs01_below_1150rs5_9_uprs5_n5_uprs05_160_192rs3_2_3rs05_2003_2004rs07_2075_2295rs4_30_40r"Passenger Car"rs04_30_40rNot Deployedrs3_175_upr2rMalers05_73_77rrrs20_337_uprs2_3_4
39rs03_1200_1280rs1_below_n7rs1_below_n25rs13_708_924rs2_1_2rs04_2002_2003rs09_2495_2835rs4_30_40r"Passenger Car"rs03_20_30rDeployedrs3_175_upr0rMalers10_104_uprrrs11_180_197rs2_3_4
40rs10_1610_1710rs3_0_3rs5_n5_uprs07_230_274rs4_3_4rs08_2006_2007rs04_1355_1595rs4_30_40r"Passenger Car"rs04_30_40rNot Deployedrs3_175_upr1rMalers10_104_uprrrs18_302_320rs3_4_5
41rs06_1420_1470rs1_below_n7rs3_n17_n12rs05_160_192rs4_3_4rs08_2006_2007rs05_1595_1775rs4_30_40r"Passenger Car"rs05_40_50rDeployedrs2_165_175r2rFemalers03_61_66rrrs08_127_145rs2_3_4
42rs13_1910_2060rs1_below_n7rs1_below_n25rs15_1401_uprs2_1_2rs06_2004_2005rs02_760_1135rs4_30_40r"Truck (<=6000 lbs.)"rs05_40_50rDeployedrs1_below_165r1rFemalers05_73_77rrrs10_162_180rs3_4_5
43rs09_1560_1610rs4_3_9rs4_n12_n5rs03_105_131rs3_2_3rs05_2003_2004rs04_1355_1595rs4_30_40r"Truck (<=6000 lbs.)"rs04_30_40rDeployedrs3_175_upr0rMalers07_82_86rrrs07_110_127rs2_3_4
44rs12_1810_1910rs2_n7_0rs2_n25_n17rs12_562_708rs2_1_2rs06_2004_2005rs04_1355_1595rs4_30_40r"Passenger Car"rs05_40_50rDeployedrs3_175_upr1rMalers06_77_82rrrs09_145_162rs3_4_5
45rs12_1810_1910rs4_3_9rs5_n5_uprs14_924_1401rs2_1_2rs07_2005_2006rs06_1775_2075rs4_30_40r"Passenger Car"rs07_60_70rNot Deployedrs2_165_175r0rMalers10_104_uprrrs07_110_127rs3_4_5
46rs05_1380_1420rs2_n7_0rs2_n25_n17rs04_131_160rs3_2_3rs07_2005_2006rs07_2075_2295rs6_50_60r"Truck (<=6000 lbs.)"rs03_20_30rDeployedrs3_175_upr0rMalers05_73_77rrrs08_127_145rs2_3_4
47rs14_2060_2320rs3_0_3rs5_n5_uprs14_924_1401rs2_1_2rs10_2008_2009rs03_1135_1355rs4_30_40r"Truck (<=10000 lbs.)"rs06_50_60rNot Deployedrs2_165_175r1rMalers05_73_77rrrs18_302_320rs3_4_5
48rs14_2060_2320rs3_0_3rs1_below_n25rs13_708_924rs4_3_4rs06_2004_2005rs05_1595_1775rs4_30_40r"Truck (<=10000 lbs.)"rs02_10_20rDeployedrs1_below_165r1rFemalers01_below_57rrrs07_110_127rs3_4_5
49rs03_1200_1280rs1_below_n7rs4_n12_n5rs05_160_192rs2_1_2rs03_2001_2002rs04_1355_1595rs4_30_40r"Passenger Car"rs03_20_30rNot Deployedrs1_below_165r1rFemalers10_104_uprrrs10_162_180rs2_3_4
50rs12_1810_1910rs5_9_uprs5_n5_uprs04_131_160rs2_1_2rs05_2003_2004rs03_1135_1355rs4_30_40r"Passenger Car"rs04_30_40rDeployedrs3_175_upr0rMalers08_86_93rrrs04_57_75rs3_4_5
51rs15_2320_uprs4_3_9rs2_n25_n17rs14_924_1401rs2_1_2rs06_2004_2005rs09_2495_2835rs4_30_40r"Truck (<=10000 lbs.)"rs04_30_40rDeployedrs3_175_upr1rMalers10_104_uprrrs08_127_145rs3_4_5
52rs13_1910_2060rs3_0_3rs4_n12_n5rs15_1401_uprs3_2_3rs05_2003_2004rs02_760_1135rs4_30_40r"Truck (<=6000 lbs.)"rs08_70_80rNot Deployedrs3_175_upr0rMalers09_93_104rrrs07_110_127rs3_4_5
53rs14_2060_2320rs3_0_3rs5_n5_uprs09_324_383rs2_1_2rs10_2008_2009rs07_2075_2295rs4_30_40r"Truck (<=10000 lbs.)"rs04_30_40rNot Deployedrs2_165_175r0rMalers04_66_73rrrs18_302_320rs3_4_5
54rs12_1810_1910rs5_9_uprs1_below_n25rs09_324_383rs2_1_2rs04_2002_2003rs04_1355_1595rs4_30_40r"Truck (<=6000 lbs.)"rs04_30_40rDeployedrs2_165_175r1rFemalers03_61_66rrrs01_below_22rs2_3_4
55rs12_1810_1910rs1_below_n7rs5_n5_uprs11_461_562rs4_3_4rs06_2004_2005rs02_760_1135rs5_40_50r"Truck (<=6000 lbs.)"rs04_30_40rNot Deployedrs3_175_upr0rMalers10_104_uprrrs13_215_232rs2_3_4
56rs15_2320_uprs3_0_3rs3_n17_n12rs10_383_461rs2_1_2rs04_2002_2003rs09_2495_2835rs5_40_50r"Truck (<=10000 lbs.)"rs05_40_50rNot Deployedrs3_175_upr1rMalers10_104_uprrrs04_57_75rs4_5_6
57rs07_1470_1510rs3_0_3rs5_n5_uprs02_79_105rs3_2_3rs08_2006_2007rs09_2495_2835rs6_50_60r"Passenger Car"rs03_20_30rNot Deployedrs1_below_165r0rFemalers03_61_66rrrs18_302_320rs2_3_4
58rs15_2320_uprs3_0_3rs4_n12_n5rs09_324_383rs3_2_3rs04_2002_2003rs04_1355_1595rs6_50_60r"Truck (<=10000 lbs.)"rs03_20_30rNot Deployedrs2_165_175r0rMalers07_82_86rrrs08_127_145rs3_4_5
59rs05_1380_1420rs3_0_3rs2_n25_n17rs07_230_274rs4_3_4rs04_2002_2003rs07_2075_2295rs6_50_60r"Passenger Car"rs09_80_90rDeployedrs2_165_175r0rMalers04_66_73rrrs08_127_145rs2_3_4
60rs07_1470_1510rs3_0_3rs1_below_n25rs12_562_708rs1_below_1rs06_2004_2005rs04_1355_1595rs4_30_40r"Passenger Car"rs07_60_70rDeployedrs3_175_upr1rFemalers10_104_uprrrs08_127_145rs2_3_4
61rs10_1610_1710rs2_n7_0rs4_n12_n5rs02_79_105rs5_4_5rs09_2007_2008rs06_1775_2075rs6_50_60r"Passenger Car"rs08_70_80rNot Deployedrs2_165_175r0rFemalers04_66_73rrrs10_162_180rs2_3_4
62rs06_1420_1470rs1_below_n7rs4_n12_n5rs06_192_230rs2_1_2rs09_2007_2008rs06_1775_2075rs4_30_40r"Passenger Car"rs02_10_20rDeployedrs2_165_175r0rMalers03_61_66rrrs11_180_197rs2_3_4
63rs06_1420_1470rs3_0_3rs5_n5_uprs15_1401_uprs2_1_2rs06_2004_2005rs04_1355_1595rs5_40_50r"Passenger Car"rs02_10_20rNot Deployedrs1_below_165r1rFemalers03_61_66rrrs18_302_320rs2_3_4
64rs12_1810_1910rs4_3_9rs3_n17_n12rs09_324_383rs2_1_2rs04_2002_2003rs02_760_1135rs5_40_50r"Truck (<=10000 lbs.)"rs07_60_70rDeployedrs3_175_upr1rMalers10_104_uprrrs07_110_127rs3_4_5
65rs15_2320_uprs5_9_uprs3_n17_n12rs13_708_924rs2_1_2rs05_2003_2004rs09_2495_2835rs3_20_30r"Truck (<=10000 lbs.)"rs04_30_40rNot Deployedrs3_175_upr0rMalers08_86_93rrrs09_145_162rs3_4_5
66rs14_2060_2320rs3_0_3rs4_n12_n5rs10_383_461rs3_2_3rs04_2002_2003rs05_1595_1775rs5_40_50r"Truck (<=6000 lbs.)"rs04_30_40rNot Deployedrs3_175_upr0rMalers07_82_86rrrs08_127_145rs2_3_4
67rs07_1470_1510rs5_9_uprs2_n25_n17rs08_274_324rs2_1_2rs09_2007_2008rs04_1355_1595rs5_40_50r"Passenger Car"rs08_70_80rDeployedrs1_below_165r1rFemalers01_below_57rrrs06_92_110rs2_3_4
68rs11_1710_1810rs5_9_uprs2_n25_n17rs12_562_708rs2_1_2rs04_2002_2003rs04_1355_1595rs5_40_50r"Truck (<=6000 lbs.)"rs05_40_50rNot Deployedrs1_below_165r1rFemalers06_77_82rrrs07_110_127rs3_4_5
69rs02_1150_1200rs3_0_3rs2_n25_n17rs05_160_192rs2_1_2rs04_2002_2003rs05_1595_1775rs6_50_60r"Passenger Car"rs09_80_90rNot Deployedrs1_below_165r2rFemalers04_66_73rrrs08_127_145rs2_3_4
70rs06_1420_1470rs5_9_uprs1_below_n25rs12_562_708rs2_1_2rs03_2001_2002rs05_1595_1775rs4_30_40r"Passenger Car"rs03_20_30rDeployedrs3_175_upr1rMalers05_73_77rrrs07_110_127rs2_3_4
71rs11_1710_1810rs1_below_n7rs1_below_n25rs14_924_1401rs3_2_3rs07_2005_2006rs04_1355_1595rs4_30_40r"Passenger Car"rs03_20_30rDeployedrs3_175_upr2rMalers09_93_104rrrs09_145_162rs3_4_5
72rs01_below_1150rs4_3_9rs3_n17_n12rs10_383_461rs4_3_4rs04_2002_2003rs05_1595_1775rs5_40_50r"Passenger Car"rs04_30_40rNot Deployedrs2_165_175r1rFemalers01_below_57rrrs07_110_127rs2_3_4
73rs07_1470_1510rs5_9_uprs3_n17_n12rs14_924_1401rs2_1_2rs05_2003_2004rs04_1355_1595rs4_30_40r"Passenger Car"rs06_50_60rNot Deployedrs1_below_165r1rFemalers05_73_77rrrs05_75_92rs2_3_4
74rs09_1560_1610rs3_0_3rs5_n5_uprs10_383_461rs4_3_4rs09_2007_2008rs05_1595_1775rs5_40_50r"Truck (<=6000 lbs.)"rs03_20_30rNot Deployedrs2_165_175r0rFemalers08_86_93rrrs18_302_320rs2_3_4
75rs11_1710_1810rs3_0_3rs1_below_n25rs14_924_1401rs4_3_4rs08_2006_2007rs05_1595_1775rs5_40_50r"Truck (<=6000 lbs.)"rs07_60_70rDeployedrs1_below_165r1rFemalers01_below_57rrrs08_127_145rs3_4_5
76rs05_1380_1420rs3_0_3rs4_n12_n5rs01_below_79rs2_1_2rs10_2008_2009rs02_760_1135rs4_30_40r"Passenger Car"rs06_50_60rNot Deployedrs3_175_upr0rMalers09_93_104rrrs08_127_145rs2_3_4
77rs13_1910_2060rs4_3_9rs5_n5_uprs01_below_79rs4_3_4rs05_2003_2004rs05_1595_1775rs6_50_60r"Truck (<=6000 lbs.)"rs04_30_40rDeployedrs2_165_175r0rFemalers02_57_61rrrs09_145_162rs2_3_4
78rs05_1380_1420rs5_9_uprs5_n5_uprs04_131_160rs5_4_5rs09_2007_2008rs05_1595_1775rs6_50_60r"Passenger Car"rs04_30_40rNot Deployedrs3_175_upr1rMalers01_below_57rrrs12_197_215rs1_below_3
79rs05_1380_1420rs2_n7_0rs3_n17_n12rs06_192_230rs5_4_5rs08_2006_2007rs04_1355_1595rs6_50_60r"Passenger Car"rs06_50_60rNot Deployedrs3_175_upr0rFemalers08_86_93rrrs09_145_162rs2_3_4
80rs13_1910_2060rs1_below_n7rs5_n5_uprs04_131_160rs2_1_2rs09_2007_2008rs04_1355_1595rs5_40_50r"Truck (<=6000 lbs.)"rs05_40_50rNot Deployedrs3_175_upr0rMalers08_86_93rrrs11_180_197rs2_3_4
81rs09_1560_1610rs5_9_uprs5_n5_uprs02_79_105rs2_1_2rs09_2007_2008rs03_1135_1355rs4_30_40r"Passenger Car"rs05_40_50rNot Deployedrs3_175_upr1rMalers10_104_uprrrs05_75_92rs2_3_4
82rs03_1200_1280rs5_9_uprs4_n12_n5rs08_274_324rs2_1_2rs04_2002_2003rs05_1595_1775rs3_20_30r"Passenger Car"rs07_60_70rNot Deployedrs1_below_165r0rFemalers07_82_86rrrs05_75_92rs2_3_4
83rs07_1470_1510rs1_below_n7rs4_n12_n5rs08_274_324rs3_2_3rs07_2005_2006rs04_1355_1595rs4_30_40r"Passenger Car"rs08_70_80rDeployedrs2_165_175r1rFemalers09_93_104rrrs10_162_180rs2_3_4
84rs07_1470_1510rs4_3_9rs3_n17_n12rs04_131_160rs2_1_2rs10_2008_2009rs04_1355_1595rs4_30_40r"Passenger Car"rs03_20_30rNot Deployedrs2_165_175r0rFemalers01_below_57rrrs07_110_127rs2_3_4
85rs04_1280_1380rs5_9_uprs2_n25_n17rs14_924_1401rs2_1_2rs05_2003_2004rs02_760_1135rs6_50_60r"Passenger Car"rs07_60_70rDeployedrs1_below_165r0rMalers05_73_77rrrs06_92_110rs2_3_4
86rs09_1560_1610rs3_0_3rs4_n12_n5rs15_1401_uprs2_1_2rs09_2007_2008rs07_2075_2295rs5_40_50r"Truck (<=6000 lbs.)"rs05_40_50rNot Deployedrs2_165_175r0rMalers10_104_uprrrs08_127_145rs2_3_4
87rs14_2060_2320rs4_3_9rs3_n17_n12rs01_below_79rs2_1_2rs07_2005_2006rs04_1355_1595rs4_30_40r"Truck (<=6000 lbs.)"rs07_60_70rNot Deployedrs1_below_165r0rFemalers01_below_57rrrs03_40_57rs2_3_4
88rs04_1280_1380rs5_9_uprs5_n5_uprs01_below_79rs2_1_2rs04_2002_2003rs02_760_1135rs4_30_40r"Passenger Car"rs02_10_20rNot Deployedrs1_below_165r0rFemalers05_73_77rrrs03_40_57rs2_3_4
89rs07_1470_1510rs3_0_3rs3_n17_n12rs02_79_105rs2_1_2rs09_2007_2008rs03_1135_1355rs5_40_50r"Passenger Car"rs03_20_30rDeployedrs2_165_175r1rFemalers04_66_73rrrs09_145_162rs2_3_4
90rs03_1200_1280rs2_n7_0rs1_below_n25rs08_274_324rs2_1_2rs08_2006_2007rs02_760_1135rs5_40_50r"Passenger Car"rs03_20_30rDeployedrs3_175_upr2rMalers06_77_82rrrs09_145_162rs2_3_4
91rs09_1560_1610rs5_9_uprs1_below_n25rs15_1401_uprs4_3_4rs07_2005_2006rs06_1775_2075rs5_40_50r"Passenger Car"rs08_70_80rDeployedrs2_165_175r4rFemalers08_86_93rrrs07_110_127rs2_3_4
92rs13_1910_2060rs1_below_n7rs1_below_n25rs15_1401_uprs4_3_4rs08_2006_2007rs04_1355_1595rs5_40_50r"Truck (<=6000 lbs.)"rs06_50_60rDeployedrs2_165_175r2rMalers07_82_86rrrs09_145_162rs3_4_5
93rs03_1200_1280rs5_9_uprs2_n25_n17rs08_274_324rs2_1_2rs03_2001_2002rs07_2075_2295rs3_20_30r"Passenger Car"rs02_10_20rNot Deployedrs3_175_upr2rMalers08_86_93rrrs03_40_57rs2_3_4
94rs08_1510_1560rs4_3_9rs5_n5_uprs04_131_160rs4_3_4rs06_2004_2005rs03_1135_1355rs5_40_50r"Passenger Car"rs03_20_30rNot Deployedrs2_165_175r0rFemalers02_57_61rrrs04_57_75rs2_3_4
95rs01_below_1150rs2_n7_0rs3_n17_n12rs01_below_79rs4_3_4rs05_2003_2004rs04_1355_1595rs5_40_50r"Passenger Car"rs09_80_90rNot Deployedrs1_below_165r0rFemalers04_66_73rrrs09_145_162rs2_3_4
96rs06_1420_1470rs3_0_3rs5_n5_uprs04_131_160rs2_1_2rs05_2003_2004rs04_1355_1595rs4_30_40r"Passenger Car"rs06_50_60rNot Deployedrs1_below_165r1rFemalers05_73_77rrrs18_302_320rs2_3_4
97rs11_1710_1810rs4_3_9rs5_n5_uprs09_324_383rs2_1_2rs06_2004_2005rs04_1355_1595rs6_50_60r"Truck (<=6000 lbs.)"rs05_40_50rNot Deployedrs2_165_175r0rFemalers10_104_uprrrs10_162_180rs2_3_4
98rs15_2320_uprs2_n7_0rs4_n12_n5rs08_274_324rs2_1_2rs04_2002_2003rs02_760_1135rs3_20_30r"Truck (<=10000 lbs.)"rs06_50_60rDeployedrs3_175_upr1rMalers09_93_104rrrs09_145_162rs3_4_5
99rs07_1470_1510rs1_below_n7rs5_n5_uprs02_79_105rs2_1_2rs05_2003_2004rs05_1595_1775rs3_20_30r"Passenger Car"rs02_10_20rNot Deployedrs3_175_upr0rMalers06_77_82rrrs14_232_250rs2_3_4
100rs02_1150_1200rs2_n7_0rs1_below_n25rs15_1401_uprs3_2_3rs08_2006_2007rs04_1355_1595rs6_50_60r"Passenger Car"rs07_60_70rNot Deployedrs3_175_upr3rMalers10_104_uprrrs03_40_57rs2_3_4
101rs06_1420_1470rs1_below_n7rs1_below_n25rs13_708_924rs5_4_5rs08_2006_2007rs06_1775_2075rs5_40_50r"Passenger Car"rs07_60_70rDeployedrs1_below_165r1rFemalers06_77_82rrrs09_145_162rs2_3_4
102rs04_1280_1380rs4_3_9rs3_n17_n12rs07_230_274rs2_1_2rs09_2007_2008rs05_1595_1775rs4_30_40r"Passenger Car"rs05_40_50rDeployedrs3_175_upr1rFemalers09_93_104rrrs06_92_110rs2_3_4
103rs10_1610_1710rs4_3_9rs5_n5_uprs01_below_79rs2_1_2rs04_2002_2003rs04_1355_1595rs4_30_40r"Truck (<=6000 lbs.)"rs03_20_30rNot Deployedrs1_below_165r0rFemalers01_below_57rrrs03_40_57rs3_4_5
104rs01_below_1150rs5_9_uprs2_n25_n17rs10_383_461rs2_1_2rs09_2007_2008rs03_1135_1355rs5_40_50r"Passenger Car"rs06_50_60rNot Deployedrs1_below_165r1rFemalers02_57_61rrrs07_110_127rs2_3_4
105rs10_1610_1710rs1_below_n7rs4_n12_n5rs15_1401_uprs2_1_2rs06_2004_2005rs06_1775_2075rs3_20_30r"Passenger Car"rs07_60_70rNot Deployedrs1_below_165r1rFemalers10_104_uprrrs17_285_302rs2_3_4
106rs12_1810_1910rs4_3_9rs1_below_n25rs14_924_1401rs2_1_2rs06_2004_2005rs05_1595_1775rs3_20_30r"Passenger Car"rs08_70_80rNot Deployedrs1_below_165r0rFemalers08_86_93rrrs07_110_127rs3_4_5
107rs05_1380_1420rs5_9_uprs1_below_n25rs14_924_1401rs3_2_3rs06_2004_2005rs04_1355_1595rs4_30_40r"Passenger Car"rs02_10_20rDeployedrs3_175_upr0rMalers08_86_93rrrs06_92_110rs2_3_4
108rs06_1420_1470rs3_0_3rs2_n25_n17rs04_131_160rs2_1_2rs08_2006_2007rs06_1775_2075rs3_20_30r"Passenger Car"rs07_60_70rDeployedrs2_165_175r1rMalers10_104_uprrrs08_127_145rs2_3_4
109rs13_1910_2060rs5_9_uprs4_n12_n5rs01_below_79rs3_2_3rs04_2002_2003rs06_1775_2075rs5_40_50r"Truck (<=6000 lbs.)"rs05_40_50rNot Deployedrs2_165_175r0rFemalers07_82_86rrrs08_127_145rs3_4_5
