GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_MANUSE,OA_SEX,OA_WEIGHT,VE_GAD1,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT
1620,31,-38,2527,3,2001,1860,40,Passenger Car,68,Deployed,175,4,1,Female,73,Left,159,285,95,4.5315
2340,-8,-47,2513,2,2002,1790,30,Truck (<=10000 lbs.),18,Deployed,163,1,1,Female,64,Front,166,295,145,4.897
1470,-40,-33,2501,4,2004,2320,40,Passenger Car,25,Deployed,160,4,0,Female,70,Right,153,274,185,4.1922
1820,10,-57,2483,2,2001,1200,45,Truck (<=6000 lbs.),64,Deployed,170,3,1,Female,82,Front,149,259,125,3.8591
1730,0,-51,2481,2,2003,1800,35,Truck (<=6000 lbs.),44,Deployed,163,2,1,Female,70,Front,154,262,135,4.0348
1520,35,-20,2480,1,2001,1510,25,Passenger Car,23,Not Deployed,165,1,1,Female,57,Left,158,281,75,4.4398
1530,-60,-11,2453,2,2003,2400,30,Passenger Car,57,Deployed,163,3,1,Female,57,Right,157,277,215,4.3489
1600,-45,-16,2428,4,2005,2540,30,Passenger Car,71,Not Deployed,165,5,1,Female,88,Right,156,281,205,4.3836
1390,41,-35,2423,5,2001,2220,40,Passenger Car,46,Deployed,160,4,0,Female,73,Left,150,272,85,4.08
1220,0,-70,2421,2,2006,1390,35,Passenger Car,57,Deployed,145,3,0,Female,81,Front,148,262,135,3.8776
1510,43,-16,2419,6,2002,1660,35,Passenger Car,56,Not Deployed,152,4,1,Female,52,Left,147,272,65,3.9984
1160,38,0,2417,2,2004,1970,40,Passenger Car,26,Deployed,152,1,1,Female,59,Left,147,260,45,3.822
1130,0,51,2400,3,2003,1420,45,Passenger Car,20,Not Deployed,160,1,1,Female,54,Rear,146,260,315,3.796
1540,24,-65,2395,3,2003,1480,30,Passenger Car,17,Deployed,170,4,1,Female,78,Front,156,281,115,4.3836
2370,6,-34,2381,2,2003,1560,70,Truck (<=10000 lbs.),22,Deployed,157,1,1,Female,52,Front,168,330,125,5.544
2520,32,-12,2370,2,2000,1810,25,Truck (<=10000 lbs.),48,Not Deployed,173,0,1,Female,68,Left,166,303,55,5.0298
2500,7,-39,2370,4,2006,1790,45,Truck (<=10000 lbs.),55,Deployed,173,1,0,Female,150,Front,172,389,125,6.6908
1460,9,-51,2369,2,2002,1520,55,Passenger Car,49,Deployed,168,3,1,Female,141,Front,152,275,125,4.18
1340,0,62,2365,2,2001,1580,55,Passenger Car,40,Deployed,170,1,1,Female,78,Rear,154,272,315,4.1888
2370,0,-46,2361,2,2001,1890,40,Truck (<=10000 lbs.),36,Deployed,170,3,0,Female,66,Front,167,330,135,5.511
1430,8,-44,2354,2,2007,1420,55,Passenger Car,47,Deployed,170,0,1,Female,78,Left,155,278,125,4.309
1160,-55,-20,2341,4,2001,2260,40,Passenger Car,19,Deployed,163,3,1,Female,50,Right,149,262,205,3.9038
1510,36,-20,2332,3,2006,1740,40,Passenger Car,73,Deployed,168,3,1,Female,61,Left,158,276,75,4.3608
2030,0,35,2314,4,2005,1200,40,Truck (<=6000 lbs.),51,Not Deployed,168,1,1,Female,86,Rear,169,300,315,5.07
1150,0,-59,2310,4,2005,1480,35,Passenger Car,49,Not Deployed,180,1,1,Female,82,Front,147,253,135,3.7191
1890,10,-57,2297,2,2000,2370,40,Truck (<=6000 lbs.),57,Deployed,163,3,0,Female,104,Front,152,295,125,4.484
1500,-35,-30,2294,3,2004,1760,45,Passenger Car,35,Deployed,168,1,1,Female,76,Right,153,257,185,3.9321
1810,9,-53,2267,2,2000,1615,35,Truck (<=6000 lbs.),48,Deployed,160,2,1,Female,95,Front,159,290,125,4.611
1500,0,-59,2259,5,2003,1210,55,Passenger Car,49,Deployed,163,2,0,Female,59,Front,147,265,135,3.8955
1570,0,61,2256,4,2005,1790,45,Truck (<=6000 lbs.),19,Not Deployed,178,3,1,Female,120,Rear,156,262,315,4.0872
1210,49,-28,2239,2,2000,2160,30,Passenger Car,23,Deployed,180,6,1,Female,98,Left,145,264,75,3.828
1580,-12,-69,2215,2,2003,1640,45,Passenger Car,63,Deployed,170,3,1,Female,57,Front,155,275,145,4.2625
1330,-54,-20,2215,4,2000,2110,35,Passenger Car,35,Deployed,150,3,0,Female,49,Right,153,274,205,4.1922
1760,15,-42,2202,4,2001,1700,50,Truck (<=6000 lbs.),19,Deployed,175,3,1,Female,64,Front,147,269,115,3.9543
3120,0,-39,2193,2,2004,1430,50,Truck (<=10000 lbs.),47,Deployed,152,1,1,Female,64,Front,173,357,135,6.1761
1160,37,-44,2185,4,2001,1470,35,Passenger Car,38,Deployed,165,3,1,Female,86,Left,147,267,95,3.9249
2290,29,-24,2183,6,2002,1710,40,Truck (<=10000 lbs.),47,Not Deployed,170,3,1,Female,78,Left,167,295,85,4.9265
1940,-16,-43,2180,2,2006,2010,55,Truck (<=6000 lbs.),39,Deployed,150,3,1,Female,61,Front,160,308,155,4.928
2500,-19,-52,2179,2,2004,1940,55,Truck (<=10000 lbs.),51,Deployed,157,3,1,Female,91,Front,172,353,155,6.0716
1540,-15,-41,2172,5,2008,2130,45,Truck (<=6000 lbs.),45,Deployed,168,1,1,Female,79,Front,156,262,155,4.0872
2040,11,-31,2169,2,2002,1630,45,Truck (<=6000 lbs.),16,Not Deployed,160,2,1,Female,50,Left,159,287,115,4.5633
1620,-45,-8,2164,3,2000,1840,45,Passenger Car,45,Not Deployed,175,0,1,Female,88,Right,157,287,215,4.5059
1210,-28,-48,2163,3,2003,2690,45,Passenger Car,15,Deployed,152,2,1,Female,45,Right,147,261,165,3.8367
1400,10,-54,2153,5,2002,3220,35,Passenger Car,53,Deployed,165,3,1,Female,59,Front,154,272,125,4.1888
1440,31,-38,2152,2,2005,1500,40,Truck (<=6000 lbs.),44,Deployed,163,1,1,Female,61,Left,156,262,95,4.0872
1490,0,-63,2152,4,2006,1660,50,Passenger Car,60,Deployed,170,3,1,Female,78,Front,152,285,135,4.332
1330,0,48,2147,2,2000,1410,35,Passenger Car,31,Not Deployed,165,0,1,Female,57,Rear,154,272,315,4.1888
1790,-9,-50,2147,2,2000,1615,50,Truck (<=6000 lbs.),67,Deployed,163,4,1,Female,50,Front,162,303,145,4.9086
1890,6,-32,2146,4,2008,1310,50,Truck (<=6000 lbs.),29,Deployed,168,0,1,Female,70,Front,158,279,125,4.4082
1610,-39,-14,2118,2,2006,1420,50,Passenger Car,36,Deployed,157,1,1,Female,68,Right,156,281,205,4.3836
1600,-38,-7,2107,4,2002,1150,65,Passenger Car,44,Not Deployed,183,4,1,Female,109,Right,158,276,215,4.3608
1600,20,-34,2100,2,2004,2020,65,Passenger Car,24,Not Deployed,170,0,1,Female,88,Front,156,281,105,4.3836
2340,0,-36,2085,2,2003,1410,55,Truck (<=10000 lbs.),43,Not Deployed,165,1,1,Female,61,Front,172,357,135,6.1404
1130,0,60,2079,4,2002,1615,35,Passenger Car,27,Deployed,163,4,1,Female,54,Rear,147,262,315,3.8514
1290,-19,-33,2071,3,2009,1420,45,Passenger Car,51,Deployed,168,0,1,Female,73,Front,151,260,165,3.926
1740,7,-39,2069,6,2006,1530,35,Truck (<=6000 lbs.),49,Deployed,170,1,1,Female,78,Front,162,303,125,4.9086
1550,31,-18,2066,4,2008,2050,35,Passenger Car,39,Deployed,175,2,1,Female,109,Front,153,285,75,4.3605
2250,0,-48,2058,2,2005,1710,55,Truck (<=10000 lbs.),44,Deployed,168,1,1,Female,84,Front,159,328,135,5.2152
1800,50,0,2054,4,2000,1615,35,Passenger Car,67,Deployed,157,5,1,Female,58,Left,166,293,45,4.8638
1980,0,-32,2052,2,2002,1500,45,Truck (<=6000 lbs.),66,Deployed,163,3,1,Female,136,Front,162,303,135,4.9086
2080,42,-15,2050,3,2007,2150,45,Truck (<=6000 lbs.),45,Deployed,160,3,1,Female,73,Left,173,275,65,4.7575
1600,0,-66,2046,5,2009,1410,45,Passenger Car,23,Deployed,163,2,1,Female,59,Front,159,280,135,4.452
1420,-8,-46,2039,2,2003,1810,55,Truck (<=6000 lbs.),22,Deployed,170,3,1,Female,73,Front,149,252,145,3.7548
1070,-56,10,2029,2,2000,1580,35,Passenger Car,36,Not Deployed,155,4,1,Female,49,Right,148,262,235,3.8776
1380,18,-50,2021,3,2000,1750,55,Passenger Car,41,Deployed,170,1,1,Female,68,Front,154,257,115,3.9578
1740,15,-42,2003,2,2004,1570,55,Truck (<=6000 lbs.),56,Deployed,163,4,1,Female,113,Left,159,305,115,4.8495
2290,19,-54,1994,2,2001,1500,35,Truck (<=10000 lbs.),59,Deployed,175,3,1,Female,100,Front,168,330,115,5.544
1460,-8,47,1992,5,2003,1520,45,Passenger Car,50,Not Deployed,163,5,1,Female,52,Rear,153,257,305,3.9321
1530,-16,45,1985,2,2005,1560,55,Passenger Car,44,Not Deployed,168,0,1,Female,68,Right,154,285,295,4.389
1740,-36,-21,1970,2,2005,2100,55,Truck (<=6000 lbs.),39,Deployed,157,2,1,Female,91,Right,164,286,195,4.6904
1220,-46,-17,1968,3,2005,1710,30,Passenger Car,35,Not Deployed,165,5,1,Female,59,Right,145,264,205,3.828
1500,0,52,1963,2,2007,1980,70,Passenger Car,25,Not Deployed,168,1,1,Female,61,Rear,154,285,315,4.389
1820,-21,-25,1953,2,2007,1790,55,Truck (<=6000 lbs.),26,Deployed,165,1,1,Female,59,Right,152,265,175,4.028
1410,-26,-46,1941,4,2007,1560,35,Passenger Car,21,Deployed,170,3,1,Female,78,Front,155,273,165,4.2315
1360,-48,9,1935,2,2001,2140,45,Passenger Car,19,Deployed,170,5,0,Female,58,Right,154,267,235,4.1118
1420,41,-15,1934,2,2005,1610,55,Passenger Car,16,Not Deployed,155,1,1,Female,55,Left,147,262,65,3.8514
1550,0,50,1933,5,2003,1580,35,Passenger Car,65,Deployed,163,1,1,Female,65,Rear,155,272,315,4.216
2010,38,-31,1928,4,2007,2580,45,Truck (<=6000 lbs.),32,Deployed,170,3,0,Female,78,Left,162,302,85,4.8924
1690,0,-44,1910,5,2001,1630,45,Truck (<=6000 lbs.),45,Deployed,170,3,0,Female,75,Front,162,307,135,4.9734
