id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,Sample
7669,s06_1675_1935,s12_0_3,s11_n38_n28,s08_577_717,3,2007,s10_2075_2255,s6_50_60,Passenger Car,s02_10_20,Deployed,s4_180_up,4,Male,s2_70_100,s06_159_163,305,55,s2_4_5,1
7802,s07_1935_2075,s13_3_13,s04_n112_n91,s15_3893_up,3,2003,s10_2075_2255,s5_40_50,Truck (<=6000 lbs.),s08_70_80,Deployed,s3_170_180,4,Male,s2_70_100,s07_163_169,300,165,s3_5_6,1
7833,s04_1335_1555,s12_0_3,s04_n112_n91,s15_3893_up,2,2007,s08_1695_1855,s5_40_50,Passenger Car,s02_10_20,Deployed,s4_180_up,4,Male,s2_70_100,s05_151_159,273,135,s2_4_5,1
7967,s03_1035_1335,s07_n41_n33,s14_n6_1,s10_877_1099,4,2003,s06_1455_1575,s6_50_60,Passenger Car,s04_30_40,Deployed,s1_below_165,4,Female,s2_70_100,s04_145_151,261,215,s1_below_4,1
8272,s06_1675_1935,s14_13_17,s14_n6_1,s07_468_577,2,2003,s04_1135_1335,s4_30_40,Truck (<=6000 lbs.),s08_70_80,Not Deployed,s1_below_165,4,Female,s2_70_100,s06_159_163,303,55,s2_4_5,1
8491,s07_1935_2075,s07_n41_n33,s13_n20_n6,s14_2554_3893,2,2006,s08_1695_1855,s8_70_up,Truck (<=6000 lbs.),s02_10_20,Not Deployed,s4_180_up,4,Male,s1_below_70,s05_151_159,262,205,s2_4_5,1
8499,s04_1335_1555,s17_31_44,s13_n20_n6,s11_1099_1433,2,2001,s05_1335_1455,s6_50_60,Passenger Car,s05_40_50,Not Deployed,s3_170_180,4,Male,s2_70_100,s06_159_163,276,65,s2_4_5,1
8640,s04_1335_1555,s19_56_61,s15_1_17,s15_3893_up,2,2000,s07_1575_1695,s6_50_60,Passenger Car,s03_20_30,Not Deployed,s3_170_180,4,Female,s2_70_100,s05_151_159,281,35,s2_4_5,1
8807,s05_1555_1675,s14_13_17,s13_n20_n6,s06_366_468,3,2004,s12_2400_2535,s4_30_40,Passenger Car,s06_50_60,Not Deployed,s3_170_180,4,Female,s1_below_70,s05_151_159,275,95,s2_4_5,1
8820,s03_1035_1335,s09_n26_n16,s13_n20_n6,s07_468_577,4,2005,s05_1335_1455,s4_30_40,Passenger Car,s08_70_80,Not Deployed,s1_below_165,4,Male,s2_70_100,s03_141_145,244,185,s1_below_4,1
8842,s06_1675_1935,s13_3_13,s12_n28_n20,s14_2554_3893,5,2000,s04_1135_1335,s4_30_40,Truck (<=6000 lbs.),s04_30_40,Not Deployed,s3_170_180,4,Female,s1_below_70,s05_151_159,273,65,s2_4_5,1
8915,s03_1035_1335,s08_n33_n26,s11_n38_n28,s12_1433_1833,5,2004,s09_1855_2075,s5_40_50,Passenger Car,s03_20_30,Deployed,s4_180_up,4,Male,s2_70_100,s03_141_145,264,175,s1_below_4,1
8921,s03_1035_1335,s09_n26_n16,s15_1_17,s09_717_877,3,2000,s04_1135_1335,s7_60_70,Passenger Car,s04_30_40,Not Deployed,s3_170_180,4,Male,s2_70_100,s03_141_145,246,335,s1_below_4,1
9098,s04_1335_1555,s11_n10_0,s14_n6_1,s01_below_113,2,2003,s08_1695_1855,s6_50_60,Passenger Car,s04_30_40,Not Deployed,s4_180_up,4,Male,s2_70_100,s04_145_151,272,225,s2_4_5,1
9206,s05_1555_1675,s15_17_25,s08_n64_n54,s15_3893_up,2,2003,s08_1695_1855,s6_50_60,Truck (<=6000 lbs.),s07_60_70,Deployed,s2_165_170,4,Male,s1_below_70,s04_145_151,310,115,s2_4_5,1
9237,s10_2350_2570,s09_n26_n16,s11_n38_n28,s15_3893_up,2,2007,s09_1855_2075,s5_40_50,Truck (<=10000 lbs.),s07_60_70,Deployed,s3_170_180,4,Male,s1_below_70,s08_169_176,364,175,s4_6_7,1
9265,s03_1035_1335,s14_13_17,s13_n20_n6,s07_468_577,4,2005,s11_2255_2400,s4_30_40,Passenger Car,s06_50_60,Deployed,s2_165_170,4,Female,s2_70_100,s03_141_145,244,135,s1_below_4,1
9311,s04_1335_1555,s10_n16_n10,s06_n81_n73,s14_2554_3893,4,2004,s09_1855_2075,s7_60_70,Passenger Car,s03_20_30,Deployed,s2_165_170,4,Female,s2_70_100,s05_151_159,270,135,s2_4_5,1
