id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT
2546,2270,-7,-19,647,3,2001,1280,25,Truck (<=10000 lbs.),42,Not Deployed,178,0,Female,82,167,330,125,5.511
2547,1280,12,-34,483,1,2006,2270,25,Passenger Car,44,Not Deployed,173,1,Female,59,148,261,115,3.8628
2548,1460,-13,-35,811,5,2006,1920,35,Passenger Car,18,Deployed,170,1,Female,57,153,274,155,4.1922
2549,1920,19,-22,888,1,2001,1460,35,Truck (<=6000 lbs.),68,Deployed,168,1,Female,100,168,300,95,5.04
2550,1610,13,-5,291,2,2006,1260,45,Passenger Car,61,Not Deployed,180,0,Male,98,157,290,65,4.553
2551,1260,-6,-16,146,2,2008,1610,45,Passenger Car,31,Not Deployed,170,1,Female,113,148,262,155,3.8776
2552,2390,0,-31,832,4,2008,2820,55,Truck (<=10000 lbs.),21,Deployed,183,2,Male,68,172,370,135,6.364
2553,2820,0,27,922,4,2006,2390,55,Truck (<=10000 lbs.),26,Not Deployed,165,0,Male,77,174,351,315,6.1074
2554,1430,0,-15,118,3,2006,1760,50,Passenger Car,19,Deployed,173,1,Male,82,155,279,135,4.3245
2555,1880,0,-18,241,4,2004,1880,35,Truck (<=6000 lbs.),40,Deployed,173,1,Female,59,158,279,135,4.4082
2556,1560,0,-30,515,2,2001,2420,45,Passenger Car,21,Not Deployed,170,0,Male,118,158,277,135,4.3766
2557,1560,0,13,143,4,2005,1650,45,Passenger Car,17,Not Deployed,163,0,Female,79,157,289,315,4.5373
2558,1530,0,-8,46,4,2008,1200,35,Passenger Car,28,Not Deployed,173,1,Male,83,155,278,135,4.309
2559,1200,-10,-18,291,4,2005,1570,30,Passenger Car,22,Deployed,175,0,Male,82,147,253,165,3.7191
2560,1570,6,-16,191,1,2005,1200,30,Passenger Car,22,Not Deployed,170,1,Female,84,152,285,115,4.332
2561,1500,3,-7,88,4,2007,1960,50,Passenger Car,19,Not Deployed,180,0,Male,66,151,276,145,4.1676
2562,1490,16,-14,494,3,2005,2620,25,Passenger Car,51,Not Deployed,160,2,Female,82,156,272,85,4.2432
2563,1520,10,-10,226,5,2008,1280,25,Passenger Car,58,Deployed,180,1,Male,66,157,273,135,4.2861
2564,1280,0,-38,666,3,2006,1520,25,Passenger Car,37,Deployed,188,0,Male,87,149,262,125,3.9038
2565,1970,-2,-18,166,2,2002,1560,45,Truck (<=10000 lbs.),50,Not Deployed,193,0,Male,118,166,364,145,6.0424
2566,1130,0,29,476,2,2003,1440,35,Passenger Car,26,Not Deployed,178,1,Male,93,147,262,315,3.8514
2567,1390,0,-16,931,4,2006,1690,50,Passenger Car,61,Not Deployed,165,0,Female,91,150,251,145,3.765
2568,1460,2,-12,112,4,2005,1920,45,Passenger Car,29,Not Deployed,173,1,Male,73,155,280,125,4.34
2569,2220,8,-10,576,2,2006,1190,25,Truck (<=10000 lbs.),71,Not Deployed,185,0,Male,100,168,357,95,5.9976
2570,1590,2,-18,158,2,2007,2000,40,Truck (<=6000 lbs.),19,Deployed,178,1,Female,68,156,262,135,4.0872
2571,2000,35,0,793,2,2005,1590,40,Truck (<=6000 lbs.),19,Not Deployed,191,1,Male,100,155,289,125,4.4795
2572,1080,5,-27,310,4,2007,1100,45,Passenger Car,19,Deployed,168,0,Male,87,147,249,125,3.6603
2573,1900,-13,-15,330,3,2001,1550,30,Truck (<=6000 lbs.),39,Deployed,173,1,Female,79,162,303,175,4.9086
2574,1550,8,-23,668,3,2004,1900,30,Passenger Car,17,Not Deployed,165,1,Female,45,156,281,115,4.3836
2575,1420,0,-35,818,4,2001,2050,45,Passenger Car,37,Deployed,173,1,Male,79,155,272,135,4.216
2576,1230,-8,-13,115,4,2002,1210,50,Passenger Car,25,Not Deployed,185,0,Male,91,146,256,155,3.7376
2577,1760,17,-8,111,2,2002,1080,25,Truck (<=6000 lbs.),26,Not Deployed,173,0,Male,79,151,269,125,4.0619
2578,2000,-16,-10,335,2,2007,1420,25,Truck (<=6000 lbs.),24,Not Deployed,160,0,Female,57,157,278,195,4.3646
2579,1420,13,-23,946,3,2001,2000,30,Passenger Car,30,Not Deployed,175,1,Male,111,155,267,105,4.1385
2580,2410,4,-17,1719,3,2004,1620,45,Truck (<=10000 lbs.),30,Not Deployed,173,1,Female,109,170,302,115,5.134
2581,1840,-13,-5,130,3,2007,1720,35,Passenger Car,21,Not Deployed,163,0,Female,50,160,305,205,4.88
2582,1420,0,-12,100,4,2003,1580,45,Passenger Car,56,Not Deployed,168,0,Female,115,155,280,135,4.34
2583,2200,0,-9,66,2,2009,1540,40,Truck (<=10000 lbs.),48,Deployed,185,1,Male,109,170,320,135,5.44
2584,1050,-4,-21,220,6,2008,2060,50,Passenger Car,20,Not Deployed,173,0,Female,73,148,255,145,3.774
2585,1990,0,-14,260,5,2003,1760,45,Truck (<=6000 lbs.),22,Not Deployed,173,0,Male,75,155,289,135,4.4795
2586,1550,8,-2,76,3,2006,2310,45,Passenger Car,17,Deployed,168,0,Female,66,158,272,135,4.2976
2587,2310,8,-22,749,2,2005,1550,45,Truck (<=10000 lbs.),65,Not Deployed,180,1,Male,91,171,364,95,6.2244
2588,2500,-6,-5,130,4,2007,1750,50,Truck (<=10000 lbs.),31,Not Deployed,188,1,Male,104,172,295,185,5.074
2589,1750,4,-10,110,5,2005,2500,50,Truck (<=6000 lbs.),40,Not Deployed,183,0,Male,75,154,262,115,4.0348
2590,1460,3,-19,130,4,2008,1780,45,Truck (<=6000 lbs.),18,Deployed,178,0,Male,79,151,263,125,3.9713
2591,1610,-11,-18,627,4,2001,1830,45,Truck (<=6000 lbs.),22,Deployed,163,1,Female,68,154,262,165,4.0348
2592,1180,3,-19,248,2,2005,1830,45,Passenger Car,20,Not Deployed,165,1,Female,57,146,260,135,3.796
2593,1460,-13,5,689,4,2004,2420,30,Passenger Car,19,Not Deployed,160,0,Female,40,155,274,245,4.247
2594,1470,0,-40,310,4,2002,1450,45,Passenger Car,42,Deployed,175,1,Male,109,157,264,135,4.1448
2595,1450,0,42,1716,4,2005,1470,45,Passenger Car,77,Not Deployed,163,2,Female,82,155,280,315,4.34
2596,1500,0,-18,185,2,2007,1200,45,Passenger Car,72,Not Deployed,173,0,Male,86,151,270,135,4.077
2597,2060,-29,-24,1561,4,2003,2240,45,Truck (<=6000 lbs.),63,Not Deployed,165,3,Female,100,158,287,185,4.5346
2598,1250,0,-2,427,4,2003,2040,55,Passenger Car,24,Deployed,193,1,Male,73,150,260,215,3.9
2599,2280,0,-32,907,3,2004,2460,50,Truck (<=10000 lbs.),76,Deployed,183,1,Male,82,167,364,135,6.0788
2600,1420,0,-24,438,2,2002,1430,45,Passenger Car,27,Deployed,157,1,Female,68,150,272,135,4.08
2601,1840,0,-15,307,1,2002,1140,30,Truck (<=6000 lbs.),17,Not Deployed,157,0,Female,54,148,273,135,4.0404
2602,2090,-22,-19,1851,4,2006,1660,50,Truck (<=10000 lbs.),77,Deployed,163,0,Male,91,170,310,185,5.27
2603,1450,9,-25,753,3,2004,1820,45,Truck (<=6000 lbs.),59,Deployed,178,1,Male,77,155,262,115,4.061
2604,1710,0,26,138,2,2006,1410,35,Truck (<=6000 lbs.),70,Not Deployed,173,0,Female,61,156,286,215,4.4616
2605,1910,-4,-12,130,4,2004,2230,50,Truck (<=6000 lbs.),17,Deployed,165,1,Female,44,162,302,155,4.8924
2606,2230,6,-10,130,5,2007,1910,45,Truck (<=6000 lbs.),56,Deployed,157,1,Female,48,162,286,105,4.6332
2607,1460,12,31,165,4,2003,1370,55,Passenger Car,25,Not Deployed,160,2,Female,77,155,270,315,4.185
2608,1280,0,11,90,2,2006,1810,35,Passenger Car,25,Not Deployed,170,0,Female,57,148,261,315,3.8628
2609,1410,5,-15,383,4,2005,2050,45,Passenger Car,20,Deployed,188,0,Male,113,150,272,115,4.08
